"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"총액","소계","소계",2021. 11,수출액 (천달러),60411630
"총액","소계","소계",2021. 11,수입액 (천달러),57350539
"식품 및 산동물","소계","소계",2021. 11,수출액 (천달러),751220
"식품 및 산동물","소계","소계",2021. 11,수입액 (천달러),3021539
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물","소계",2021. 11,수출액 (천달러),827
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물","소계",2021. 11,수입액 (천달러),7097
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물","중분류 03의 동물을 제외한 산 동물",2021. 11,수출액 (천달러),827
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물","중분류 03의 동물을 제외한 산 동물",2021. 11,수입액 (천달러),7097
"식품 및 산동물","고기및 고기 조제품","소계",2021. 11,수출액 (천달러),12343
"식품 및 산동물","고기및 고기 조제품","소계",2021. 11,수입액 (천달러),585685
"식품 및 산동물","고기및 고기 조제품","쇠고기,신선,냉장 또는 냉동한 것",2021. 11,수출액 (천달러),284
"식품 및 산동물","고기및 고기 조제품","쇠고기,신선,냉장 또는 냉동한 것",2021. 11,수입액 (천달러),349636
"식품 및 산동물","고기및 고기 조제품","기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",2021. 11,수출액 (천달러),4890
"식품 및 산동물","고기및 고기 조제품","기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",2021. 11,수입액 (천달러),209528
"식품 및 산동물","고기및 고기 조제품","고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",2021. 11,수출액 (천달러),5
"식품 및 산동물","고기및 고기 조제품","고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",2021. 11,수입액 (천달러),2029
"식품 및 산동물","고기및 고기 조제품","달리 명시되지 않은 조제 또는 저장한 고기 및 설육",2021. 11,수출액 (천달러),7165
"식품 및 산동물","고기및 고기 조제품","달리 명시되지 않은 조제 또는 저장한 고기 및 설육",2021. 11,수입액 (천달러),24493
"식품 및 산동물","낙농품 및 새알","소계",2021. 11,수출액 (천달러),10024
